id,x_peak,y_peak,peak_value
235,72,4859,2096.909
236,10116,4864,1124.2251
237,3132,4889,1848.4136
238,4409,4903,1731.4781
239,9078,4911,1599.5818
240,810,4969,2693.0146
241,8758,4972,2510.629
242,8743,4976,2493.6582
243,801,4981,3527.537
244,2142,5029,2882.7695
245,1260,5041,1439.8131
246,10528,5059,2807.176
247,416,5190,1046.3218
248,1495,5197,3562.8257
249,5280,5202,2237.5396
250,1502,5207,3361.667
251,2072,5240,3171.1
252,9848,5274,2764.9458
253,6540,5279,2213.4458
254,6559,5279,2262.9446
255,9152,5284,2825.0667
256,2304,5290,2471.8206
257,9152,5293,2815.2231
258,6551,5312,1182.2793
259,5782,5317,1113.8247
260,4906,5319,3214.406
261,22,5344,4694.718
262,5466,5350,2625.8948
263,498,5360,5291.6924
264,3214,5370,1057.4592
265,5521,5382,1447.1506
266,6007,5401,1516.6982
267,706,5402,2737.5466
268,3202,5402,2457.688
269,3221,5405,2363.1414
270,6823,5447,1371.8718
271,4129,5484,3009.854
272,4142,5488,3058.1025
273,7731,5517,1418.2522
274,6509,5530,2505.682
275,2409,5574,3873.3733
276,6744,5675,2393.0715
277,6804,5679,1503.329
278,3682,5698,1351.4915
279,6475,5723,2481.121
280,6492,5725,2487.0686
281,4396,5756,2169.234
282,6573,5767,1305.3073
283,4767,5772,1117.508
284,1582,5857,2322.337
285,6052,5881,1706.6897
286,4542,5959,1218.3508
287,7811,5985,1360.619
288,6187,5988,1932.6426
289,4171,5993,1270.6998
290,10039,6021,1682.401
291,6034,6071,1461.4729
292,6854,6072,2394.7522
293,6845,6074,2832.6538
294,7877,6100,2432.0774
295,6482,6157,3265.31
296,6491,6157,2562.936
297,9421,6210,2690.3015
298,7757,6220,1663.6902
299,8509,6241,1980.5139
300,8492,6246,2226.397
301,2758,6289,2387.3503
302,10433,6291,1776.909
303,8479,6305,2595.304
304,9229,6323,1345.954
305,10429,6330,1271.2499
306,7028,6359,2327.6165
307,7826,6371,1910.1628
308,2702,6380,2468.7
309,3106,6468,2673.6416
310,3153,6490,1442.1106
311,6892,6581,2380.565
312,2691,6586,2198.9673
313,3324,6636,2724.9446
314,6729,6649,1344.2811
315,2452,6657,2677.7166
316,7377,6722,2432.0889
317,7393,6724,2428.7588
318,8047,6822,1348.5419
319,6608,6841,1372.7131
320,1632,6869,2362.8984
321,626,6873,2082.6436
322,1356,6890,3839.5212
323,4188,6903,1388.7163
324,100,6925,3270.1587
325,7315,6966,2382.8232
326,10317,6971,3430.1865
327,10173,6975,1681.3629
328,442,6988,6056.288
329,7223,7011,2875.8416
330,3468,7126,2589.6057
331,2521,7151,2725.4114
332,1101,7219,2062.0708
333,579,7239,1036.8848
334,8524,7370,2379.5168
335,5800,7376,1411.6212
336,8989,7381,2710.3594
337,9002,7381,2755.6553
338,5799,7403,1733.9437
339,5809,7418,2332.936
340,9519,7419,1354.5648
341,5791,7422,2001.1501
342,9301,7440,1816.3497
343,5799,7456,1066.6952
344,3797,7560,2680.2026
345,3809,7562,2493.4087
346,4313,7568,2255.1143
347,7258,7569,1949.1812
348,10217,7577,2134.138
349,6583,7637,1547.5594
350,1681,7687,2348.9656
351,4879,7687,2389.0017
352,3209,7691,2678.7417
353,4862,7691,2501.1487
354,3212,7701,2725.8882
355,2532,7765,1542.6355
356,3804,7786,2756.2146
357,2398,7832,2522.3708
358,9734,7840,3596.3691
359,9746,7841,4349.8438
360,45,7939,1128.3499
361,4840,7940,1118.5923
362,3732,7944,1627.4637
363,6511,7951,1795.2866
364,9854,7953,1708.4655
365,8719,7958,1330.014
366,8458,7999,1477.1578
367,10386,8008,1832.5594
368,10386,8021,2544.331
369,10386,8040,2572.409
370,10383,8064,3420.7546
371,10374,8066,3661.5095
372,10392,8067,3684.4055
373,10392,8079,3676.396
374,10383,8085,3460.4133
375,10384,8102,2440.9055
376,10385,8110,2446.1304
377,820,8115,2977.178
378,7125,8118,1578.4535
379,10385,8125,1906.9164
380,10385,8133,1907.684
381,9950,8163,2381.689
382,5845,8189,1435.8435
383,4979,8283,3098.0928
384,4988,8287,2909.3914
385,2508,8345,2735.7217
386,2508,8354,2752.178
387,8820,8362,1172.9316
388,3879,8385,2768.1455
389,4594,8415,2245.4937
390,9093,8495,4286.492
391,1969,8501,3835.5657
392,8493,8535,3929.36
393,11132,8613,1095.7911
394,3442,8616,1409.9718
395,10143,8620,2195.844
396,11127,8624,1154.4487
397,5149,8625,2917.921
398,11136,8629,1152.7471
399,11128,8635,1150.4135
400,9275,8671,5043.5015
401,4324,8672,1550.1948
402,849,8675,1132.1887
403,9264,8678,4742.324
404,5454,8680,3611.6118
405,1718,8689,2559.5579
406,7671,8710,3861.012
407,4699,8712,1056.5748
408,10921,8716,1060.6703
409,3854,8730,1421.0951
410,4699,8765,1204.034
411,4699,8778,1220.4578
412,5630,8781,3662.4802
413,4698,8797,2739.36
414,5523,8809,2650.974
415,6429,8812,1087.6597
416,6884,8825,1796.2024
417,8582,8828,6420.633
418,8552,8829,2105.7563
419,3158,8831,5094.9688
420,7519,8831,4296.3267
421,4686,8832,4372.7275
422,4711,8832,4519.351
423,4699,8838,3526.872
424,3115,8843,1503.9161
425,6429,8843,1077.042
426,4687,8847,4280.723
427,4699,8847,3565.22
428,4273,8852,1228.9084
429,6429,8852,1087.4519
430,4555,8857,1530.3241
431,4699,8857,3561.3828
432,122,8863,9778.613
433,6429,8865,1096.5627
434,4252,8866,2030.7612
435,4696,8869,3597.7317
436,6429,8874,1076.6177
437,4297,8877,1350.8582
438,4700,8880,3600.3691
439,6429,8884,1067.9683
440,4297,8889,3047.2239
441,4697,8889,1127.8812
442,6429,8894,1079.7454
443,10639,8902,1141.0251
444,4297,8905,2191.9868
445,6429,8907,1076.3827
446,4333,8908,6159.4165
447,4697,8910,1178.8069
448,4297,8916,2460.4302
449,4333,8916,6154.025
450,6429,8919,1066.625
451,123,8920,9758.72
452,4703,8923,3863.1987
453,2213,8924,5823.761
454,6466,8926,5889.964
455,4271,8927,1452.5796
456,10639,8927,1116.534
457,4700,8933,3775.3523
458,6466,8934,5989.7324
459,6429,8935,1071.7643
460,4271,8936,1440.543
461,4297,8945,2049.959
462,4271,8946,2400.9897
463,2213,8950,4356.6196
464,6466,8952,6137.1074
465,4297,8954,1914.8314
466,6429,8956,1086.969
467,2184,8967,1730.7203
468,4297,8970,1590.8594
469,8551,8972,1099.0698
